Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980
DZA,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
DZA,Algeria,DZ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
DZA,Algeria,DZ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"34512,32973"
DZA,Algeria,DZ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"42345,82769"
DZA,Algeria,DZ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"24112,62687"
DZA,Algeria,DZ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"5824,440709"
DZA,Algeria,DZ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"18288,18617"
DZA,Algeria,DZ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"16550,57395"
DZA,Algeria,DZ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,0
DZA,Algeria,DZ,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,0
DZA,Algeria,DZ,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"14541,42725"
DZA,Algeria,DZ,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"12856,97534"
DZA,Algeria,DZ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"56,94215509"
DZA,Algeria,DZ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"13,75446184"
DZA,Algeria,DZ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"43,18769325"
DZA,Algeria,DZ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"39,08430854"
DZA,Algeria,DZ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,0
DZA,Algeria,DZ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,0
DZA,Algeria,DZ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"34,33969306"
DZA,Algeria,DZ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"30,36184682"
DZA,Algeria,DZ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"4207,220849"
DZA,Algeria,DZ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"16047,89502"
DZA,Algeria,DZ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"11840,67417"
DZA,Algeria,DZ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"9,935384615"
DZA,Algeria,DZ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"37,89722837"
DZA,Algeria,DZ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"27,96184375"
DZA,Algeria,DZ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"241,8376818"
DZA,Algeria,DZ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"0,5711015583"
DZA,Algeria,DZ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
AGO,Angola,AO,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
AGO,Angola,AO,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
AGO,Angola,AO,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"7286,77208"
AGO,Angola,AO,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"5003,049707"
AGO,Angola,AO,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"3743,565746"
AGO,Angola,AO,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"2607,126145"
AGO,Angola,AO,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"1136,439602"
AGO,Angola,AO,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"467,9457183"
AGO,Angola,AO,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"903,1294335"
AGO,Angola,AO,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,"-435,1837152"
AGO,Angola,AO,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,"2774,249616"
AGO,Angola,AO,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,"1604,38532"
AGO,Angola,AO,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,"74,82567565"
AGO,Angola,AO,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,"52,1107384"
AGO,Angola,AO,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,"22,71493725"
AGO,Angola,AO,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,"9,353209456"
AGO,Angola,AO,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,"18,05157826"
AGO,Angola,AO,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,"-8,698368809"
AGO,Angola,AO,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,"55,45117035"
AGO,Angola,AO,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,"32,06814671"
AGO,Angola,AO,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,"-493,2149541"
AGO,Angola,AO,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,"1325,515326"
AGO,Angola,AO,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,"1818,73028"
AGO,Angola,AO,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,"-9,858286106"
AGO,Angola,AO,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,"26,49414663"
AGO,Angola,AO,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,"36,35243274"
AGO,Angola,AO,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,"69,84514405"
AGO,Angola,AO,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,"1,396051371"
AGO,Angola,AO,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,0
BEN,Benin,BJ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,0
BEN,Benin,BJ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,0
BEN,Benin,BJ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,"1293,465254"
BEN,Benin,BJ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,"1684,664441"
BEN,Benin,BJ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,"1494,468503"
BEN,Benin,BJ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,"121,4502095"
BEN,Benin,BJ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,"1373,018293"
BEN,Benin,BJ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,"212,9875023"
BEN,Benin,BJ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,"87,87293914"
